;;time;bnds;lat;lon;pr
0;01/01/2096;12:00:00;0;-6.0;-50.0;0.000264
1;01/01/2096;12:00:00;0;-6.0;-49.8;0.000256
2;01/01/2096;12:00:00;0;-6.0;-49.6;0.000225
3;01/01/2096;12:00:00;0;-6.0;-49.4;0.000240
4;01/01/2096;12:00:00;0;-6.0;-49.2;0.000268
...;;...;...;...;...;...
1440541;31/12/2099;12:00:00;1;-2.8;-45.2;0.000123
1440542;31/12/2099;12:00:00;1;-2.8;-45.0;0.000122
1440543;31/12/2099;12:00:00;1;-2.8;-44.8;0.000132
1440544;31/12/2099;12:00:00;1;-2.8;-44.6;0.000130
1440545;31/12/2099;12:00:00;1;-2.8;-44.4;0.000121
;;;;;;
[1440546;rows x 5;columns];;;;
